Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	1	500	107
5	0	8	500	102
6	0	8	500	100
7	0	8	500	100
8	0	8	500	100
9	0	8	500	100
10	0	15	500	100
11	0	15	500	100
12	0	15	500	100
13	0	15	500	100
14	0	17	500	100
15	0	17	500	100
16	0	17	500	98
17	0	17	500	98
18	0	17	500	98
19	0	17	500	98
20	0	17	500	98
21	0	17	500	98
22	0	17	500	98
23	0	17	500	98
24	0	17	500	98
25	0	25	500	98
26	0	25	500	98
27	0	25	500	97
28	0	25	500	97
29	0	25	500	97
30	0	25	500	97
31	0	25	500	97
32	0	25	500	97
33	0	25	500	97
34	0	25	500	97
35	0	25	500	97
36	0	25	500	97
37	0	25	500	97
38	0	25	500	97
39	0	25	500	97
40	0	25	500	97
41	0	25	500	97
42	0	25	500	97
43	0	25	500	97
44	0	25	500	97
45	0	25	500	94
46	0	25	500	94
47	0	25	500	94
48	0	25	500	94
49	0	25	500	94
50	0	25	500	94
