Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	0	500	500
5	0	0	500	500
6	0	1	500	130
7	0	5	500	122
8	0	8	500	119
9	0	9	500	119
10	0	9	500	119
11	0	9	500	119
12	0	9	500	119
13	0	9	500	116
14	0	9	500	115
15	0	9	500	112
16	0	9	500	110
17	0	9	500	110
18	0	9	500	105
19	0	15	500	103
20	0	15	500	100
21	0	15	500	99
22	0	16	500	98
23	0	16	500	98
24	0	19	500	96
25	0	19	500	96
26	0	19	500	96
27	0	19	500	96
28	0	19	500	96
29	0	19	500	96
30	0	19	500	96
31	0	21	500	96
32	0	21	500	96
33	0	21	500	96
34	0	21	500	96
35	0	31	500	96
36	0	31	500	96
37	0	31	500	94
38	0	31	500	94
39	0	31	500	94
40	0	31	500	94
41	0	31	500	94
42	0	31	500	94
43	0	31	500	94
44	0	31	500	94
45	0	31	500	94
46	0	31	500	94
47	0	31	500	94
48	0	31	500	94
49	0	31	500	94
50	0	31	500	94
