Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	0	500	500
5	0	1	500	130
6	0	5	500	122
7	0	6	500	122
8	0	6	500	119
9	0	6	500	117
10	0	11	500	109
11	0	11	500	109
12	0	16	500	109
13	0	16	500	109
14	0	16	500	107
15	0	16	500	107
16	0	16	500	107
17	0	16	500	107
18	0	16	500	107
19	0	16	500	107
20	0	16	500	106
21	0	16	500	106
22	0	16	500	106
23	0	16	500	106
24	0	16	500	104
25	0	16	500	104
26	0	16	500	104
27	0	16	500	104
28	0	16	500	104
29	0	16	500	104
30	0	16	500	102
31	0	16	500	101
32	0	16	500	101
33	0	16	500	101
34	0	16	500	101
35	0	16	500	101
36	0	18	500	98
37	0	19	500	98
38	0	19	500	98
39	0	19	500	98
40	0	19	500	98
41	0	19	500	98
42	0	19	500	98
43	0	19	500	98
44	0	19	500	98
45	0	20	500	98
46	0	20	500	96
47	0	23	500	96
48	0	23	500	96
49	0	23	500	96
50	0	23	500	96
