Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	1	500	145
3	0	8	500	131
4	0	8	500	131
5	0	8	500	131
6	0	8	500	131
7	0	8	500	131
8	0	8	500	131
9	0	8	500	131
10	0	8	500	131
11	0	8	500	131
12	0	8	500	131
13	0	8	500	131
14	0	8	500	121
15	0	8	500	121
16	0	8	500	117
17	0	8	500	117
18	0	11	500	111
19	0	11	500	111
20	0	11	500	111
21	0	16	500	109
22	0	16	500	108
23	0	16	500	108
24	0	16	500	108
25	0	16	500	107
26	0	16	500	104
27	0	16	500	104
28	0	16	500	104
29	0	16	500	103
30	0	21	500	103
31	0	21	500	103
32	0	21	500	103
33	0	21	500	101
34	0	21	500	101
35	0	21	500	101
36	0	24	500	99
37	0	24	500	98
38	0	24	500	96
39	0	24	500	96
40	0	24	500	96
41	0	24	500	96
42	0	24	500	94
43	0	24	500	94
44	0	24	500	94
45	0	24	500	94
46	0	24	500	94
47	0	24	500	94
48	0	24	500	94
49	0	27	500	94
50	0	27	500	94
