Population size: 200
Mutation rate: 0.05
Random ones: 100
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	0	500
9	0	500
10	0	500
11	1	147
12	2	129
13	2	128
14	4	128
15	4	126
16	5	126
17	5	126
18	5	126
19	5	126
20	5	126
21	5	126
22	5	126
23	5	126
24	5	126
25	5	111
26	5	110
27	5	108
28	5	108
29	5	107
30	5	107
31	5	107
32	5	107
33	6	103
34	6	103
35	6	103
36	6	103
37	9	103
38	9	103
39	9	103
40	9	101
41	9	101
42	9	101
43	9	101
44	9	101
45	9	101
46	9	101
47	10	101
48	10	101
49	10	101
50	10	101
