Population size: 200
Mutation rate: 0.2
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	1	98
4	1	98
5	7	97
6	7	95
7	7	95
8	7	95
9	7	95
10	7	95
11	7	95
12	7	95
13	7	95
14	7	95
15	7	95
16	7	95
17	7	95
18	7	95
19	7	95
20	7	95
21	7	95
22	7	95
23	7	95
24	7	95
25	7	95
26	7	95
27	7	95
28	7	95
29	7	95
30	7	95
31	7	95
32	7	95
33	7	95
34	7	95
35	7	95
36	7	95
37	7	95
38	7	95
39	7	95
40	7	95
41	7	95
42	7	95
43	7	95
44	7	95
45	7	95
46	7	95
47	7	95
48	7	95
49	7	95
50	7	95
