Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	1	151
7	1	142
8	2	140
9	2	140
10	2	133
11	2	133
12	2	121
13	2	121
14	2	121
15	2	121
16	2	121
17	2	121
18	2	121
19	2	121
20	2	121
21	2	107
22	7	106
23	7	105
24	7	103
25	7	103
26	7	101
27	9	97
28	14	97
29	14	97
30	14	95
31	14	95
32	14	95
33	14	95
34	14	95
35	14	95
36	14	95
37	14	95
38	14	95
39	14	95
40	14	95
41	14	95
42	14	95
43	14	95
44	14	95
45	14	95
46	14	95
47	14	92
48	14	92
49	14	92
50	14	92
