Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	1	150
8	3	150
9	3	150
10	5	140
11	6	140
12	6	140
13	6	140
14	6	140
15	9	140
16	9	131
17	9	127
18	9	126
19	11	125
20	11	124
21	11	124
22	11	124
23	11	124
24	11	121
25	11	120
26	11	119
27	11	119
28	11	119
29	11	119
30	11	114
31	11	114
32	11	114
33	15	114
34	15	114
35	15	114
36	15	114
37	15	114
38	15	114
39	15	114
40	15	114
41	15	112
42	15	109
43	15	109
44	15	109
45	15	109
46	15	109
47	15	109
48	15	109
49	15	109
50	15	109
