Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	hits this round	all time best	best time	all time best time
1	0	0	500	500
2	0	0	500	500
3	0	0	500	500
4	0	1	500	156
5	0	1	500	156
6	0	1	500	156
7	0	1	500	156
8	0	1	500	156
9	0	1	500	156
10	0	1	500	149
11	0	2	500	140
12	0	5	500	137
13	0	5	500	137
14	0	5	500	137
15	0	5	500	137
16	0	5	500	137
17	0	5	500	136
18	0	5	500	136
19	0	5	500	136
20	0	5	500	136
21	0	5	500	136
22	0	5	500	136
23	0	5	500	136
24	0	5	500	136
25	0	5	500	136
26	0	5	500	136
27	0	5	500	136
28	0	5	500	136
29	0	5	500	136
30	0	5	500	136
31	0	5	500	136
32	0	5	500	136
33	0	5	500	136
34	0	5	500	136
35	0	5	500	136
36	0	5	500	136
37	0	5	500	136
38	0	5	500	136
39	0	5	500	136
40	0	5	500	136
41	0	5	500	136
42	0	5	500	136
43	0	5	500	136
44	0	5	500	136
45	0	5	500	136
46	0	5	500	136
47	0	5	500	136
48	0	6	500	136
49	0	6	500	136
50	0	6	500	136
