Population size: 200
Mutation rate: 0.05
Random ones: 50
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	1	190
8	1	144
9	4	131
10	5	131
11	5	124
12	5	118
13	7	118
14	7	118
15	7	118
16	7	118
17	7	118
18	7	118
19	7	118
20	8	114
21	8	114
22	12	114
23	12	114
24	12	114
25	12	113
26	12	113
27	12	113
28	12	112
29	12	112
30	12	112
31	12	112
32	15	108
33	15	108
34	15	107
35	15	107
36	15	107
37	15	107
38	15	107
39	15	107
40	15	107
41	15	107
42	15	107
43	15	107
44	15	107
45	15	107
46	15	107
47	15	106
48	15	106
49	15	106
50	15	106
