Population size: 300
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	1	175
5	2	158
6	5	144
7	5	128
8	6	115
9	9	115
10	9	114
11	16	107
12	16	107
13	16	107
14	16	107
15	20	106
16	20	102
17	20	101
18	20	99
19	21	98
20	21	98
21	21	98
22	21	98
23	21	98
24	22	97
25	22	97
26	22	97
27	22	97
28	23	97
29	23	96
30	23	96
31	26	96
32	26	95
33	26	95
34	26	95
35	26	95
36	26	95
37	26	95
38	26	95
39	32	95
40	36	95
41	36	95
42	36	95
43	36	95
44	36	94
45	36	94
46	36	94
47	36	93
48	36	93
49	36	93
50	36	93
