Population size: 300
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	2	103
9	12	100
10	17	99
11	20	99
12	20	99
13	20	96
14	20	95
15	29	95
16	29	95
17	29	95
18	29	93
19	29	93
20	29	93
21	29	93
22	29	93
23	29	93
24	29	93
25	34	93
26	34	93
27	34	93
28	34	93
29	34	93
30	46	93
31	46	93
32	46	92
33	47	92
34	47	92
35	47	92
36	47	91
37	47	91
38	47	91
39	47	91
40	47	91
41	47	91
42	47	91
43	47	91
44	47	91
45	47	91
46	47	91
47	47	91
48	47	91
49	47	91
50	47	91
