Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	1	195
6	2	131
7	2	131
8	2	130
9	2	130
10	4	130
11	5	130
12	5	130
13	5	130
14	5	130
15	5	130
16	8	130
17	8	130
18	8	130
19	8	130
20	8	130
21	8	126
22	8	124
23	11	123
24	11	123
25	11	123
26	11	123
27	11	123
28	11	123
29	11	123
30	11	123
31	11	123
32	11	123
33	11	122
34	11	122
35	11	122
36	11	119
37	11	119
38	11	119
39	11	119
40	11	119
41	11	119
42	11	119
43	11	119
44	11	119
45	11	119
46	11	119
47	11	119
48	11	119
49	11	119
50	11	119
