Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	2	161
4	2	161
5	2	161
6	2	161
7	2	128
8	2	128
9	2	128
10	2	128
11	2	128
12	2	128
13	2	113
14	2	113
15	2	113
16	2	113
17	2	113
18	2	113
19	2	113
20	2	113
21	2	113
22	2	113
23	2	113
24	2	113
25	6	113
26	6	113
27	6	113
28	6	113
29	6	113
30	6	113
31	6	113
32	6	113
33	6	113
34	6	113
35	6	108
36	6	108
37	6	108
38	6	108
39	6	108
40	7	104
41	9	104
42	9	104
43	11	104
44	11	104
45	11	104
46	11	104
47	11	104
48	11	104
49	11	104
50	11	104
