Population size: 100
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	1	140
6	1	140
7	1	134
8	2	129
9	6	125
10	6	125
11	6	125
12	6	125
13	6	125
14	6	125
15	6	125
16	6	125
17	6	125
18	6	125
19	6	121
20	6	119
21	6	119
22	6	119
23	6	119
24	6	119
25	6	119
26	6	119
27	6	119
28	6	119
29	6	119
30	6	119
31	6	115
32	6	115
33	6	115
34	6	115
35	6	115
36	7	115
37	7	115
38	7	115
39	7	115
40	7	115
41	7	115
42	7	115
43	7	115
44	7	115
45	7	115
46	7	115
47	7	115
48	7	115
49	7	115
50	7	115
