Population size: 200
Mutation rate: 0.05
Random ones: 25
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	1	100
5	10	95
6	12	95
7	12	95
8	12	95
9	12	95
10	12	95
11	12	95
12	12	95
13	12	95
14	12	95
15	12	95
16	12	95
17	12	95
18	12	95
19	12	95
20	12	95
21	12	95
22	12	95
23	12	95
24	17	94
25	17	94
26	17	94
27	17	94
28	17	94
29	20	94
30	20	94
31	20	94
32	20	94
33	20	94
34	20	94
35	20	92
36	20	92
37	20	92
38	20	92
39	20	90
40	20	90
41	20	90
42	20	90
43	20	90
44	20	90
45	20	90
46	20	90
47	23	90
48	23	90
49	23	90
50	23	90
