Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	1	135
6	4	132
7	4	132
8	4	132
9	9	125
10	9	125
11	9	125
12	9	125
13	9	125
14	9	125
15	9	125
16	9	125
17	9	125
18	9	125
19	9	125
20	9	125
21	9	125
22	9	125
23	9	125
24	9	125
25	9	125
26	9	125
27	9	125
28	9	125
29	9	125
30	9	125
31	9	125
32	9	125
33	9	125
34	9	125
35	9	125
36	9	125
37	9	125
38	9	125
39	9	114
40	9	112
41	9	112
42	9	112
43	9	112
44	9	112
45	9	112
46	9	112
47	9	112
48	9	112
49	9	112
50	9	112
