Population size: 200
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	1	117
3	7	114
4	7	114
5	7	114
6	7	114
7	7	111
8	7	104
9	7	104
10	13	104
11	13	104
12	13	104
13	13	104
14	13	104
15	13	104
16	13	104
17	13	104
18	13	104
19	13	104
20	13	104
21	13	104
22	13	104
23	13	104
24	13	104
25	13	103
26	13	103
27	13	102
28	13	101
29	13	101
30	13	101
31	13	101
32	13	100
33	13	100
34	13	100
35	13	100
36	15	100
37	15	100
38	15	98
39	15	97
40	15	97
41	15	96
42	15	95
43	15	94
44	15	93
45	15	93
46	15	93
47	15	93
48	15	93
49	15	93
50	15	93
